[2025-05-09 11:04:39.013] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 12:04:17.310] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-09 12:04:18.429] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.8
[2025-05-09 12:04:18.430] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.8
[2025-05-09 12:04:19.496] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-09 12:04:19.498] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-09 12:04:20.597] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-09 12:04:20.600] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-09 12:04:21.668] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 12:04:21.672] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 12:04:22.671] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 12:04:22.672] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 12:04:23.680] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 12:04:23.684] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 12:04:28.831] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 12:04:28.832] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 12:04:29.916] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.8
[2025-05-09 12:04:29.919] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.8
[2025-05-09 12:04:31.017] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 12:04:31.020] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 12:04:32.116] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 12:04:33.215] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-09 12:04:33.217] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-09 12:04:34.231] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 12:04:34.233] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 12:04:35.229] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 12:04:35.232] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 12:04:36.235] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-09 12:04:36.238] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-09 12:04:41.286] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-09 12:04:41.287] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-09 12:04:42.293] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 12:04:42.294] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 12:04:47.389] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 12:04:47.390] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 12:04:48.401] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 12:04:48.402] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 12:04:49.417] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 12:04:49.418] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 12:04:50.420] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.94
[2025-05-09 12:04:50.421] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.94
[2025-05-09 12:04:51.516] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-09 12:04:51.519] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-09 12:04:52.635] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-09 12:04:52.639] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-09 12:06:43.775] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.9
[2025-05-09 12:06:43.776] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.9
[2025-05-09 12:06:44.785] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 12:06:44.789] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 12:06:45.868] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.9
[2025-05-09 12:06:45.869] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.9
[2025-05-09 12:06:46.977] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 12:06:46.979] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 12:06:48.061] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-09 12:06:48.062] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-09 12:06:49.079] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-09 12:06:49.081] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-09 12:06:50.144] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 12:06:50.145] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 12:06:51.210] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 12:06:51.212] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 12:06:52.211] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-09 12:06:52.212] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-09 12:06:53.257] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 12:06:53.258] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 12:06:54.282] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.88
[2025-05-09 12:06:54.285] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.88
[2025-05-09 12:06:55.365] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.84
[2025-05-09 12:06:55.366] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.84
[2025-05-09 12:06:56.457] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 12:06:56.461] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 12:06:57.549] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 12:06:57.551] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 12:06:58.651] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.75
[2025-05-09 12:06:58.653] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.75
[2025-05-09 12:06:59.746] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-09 12:06:59.749] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-09 12:20:16.180] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 12:20:16.181] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 12:20:17.219] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-09 12:20:17.222] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-09 12:20:18.311] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-09 12:20:18.312] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-09 12:20:19.337] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-09 12:20:19.339] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-09 12:20:20.438] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 12:20:20.441] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 12:20:21.440] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 12:20:21.443] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 12:20:22.537] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 12:20:22.538] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 12:20:23.645] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 12:20:23.646] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 12:20:24.711] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 12:20:24.714] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 12:20:25.753] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-09 12:20:25.755] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-09 12:20:26.828] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 12:20:26.829] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 12:20:27.934] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 12:20:27.937] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 12:20:28.988] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.87
[2025-05-09 12:20:28.990] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.87
[2025-05-09 12:20:30.073] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.9
[2025-05-09 12:20:30.076] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.9
[2025-05-09 12:20:31.178] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 12:20:31.181] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 12:20:32.182] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 12:20:32.184] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 12:20:33.272] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 12:20:33.275] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 12:20:34.278] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.97
[2025-05-09 12:20:34.280] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.97
[2025-05-09 12:20:35.277] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-09 12:20:35.282] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-09 12:20:36.295] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 12:20:36.296] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 12:20:37.345] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-09 12:20:37.347] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-09 12:20:38.441] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 12:20:38.444] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 12:20:39.554] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 12:20:39.557] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 12:20:40.664] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-09 12:20:40.665] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-09 12:20:41.700] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 12:20:41.703] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 12:20:42.804] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-09 12:20:42.806] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-09 12:20:43.831] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 12:20:43.834] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 12:20:44.936] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 12:20:44.937] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 12:20:45.926] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 12:20:45.927] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 12:20:47.017] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.8
[2025-05-09 12:20:47.018] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.8
[2025-05-09 12:20:48.121] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.84
[2025-05-09 12:20:48.123] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.84
[2025-05-09 12:20:49.213] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-09 12:20:49.217] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-09 12:20:50.217] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-09 12:20:50.220] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-09 12:20:51.297] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.75
[2025-05-09 12:20:51.297] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.75
[2025-05-09 12:20:52.416] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 12:20:52.419] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 12:20:53.480] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 12:20:53.482] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 12:20:54.575] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 12:20:54.577] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 12:20:55.691] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 12:20:55.695] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 12:22:04.743] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 12:22:04.745] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 12:22:05.823] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-09 12:22:05.824] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-09 12:22:06.939] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-09 12:22:06.942] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-09 12:22:08.037] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 12:22:08.040] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 12:22:09.125] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-09 12:22:09.127] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-09 12:22:10.178] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 12:22:10.182] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 12:22:11.174] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-09 12:22:11.176] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-09 12:22:12.281] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 12:22:12.284] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 21:48:45.278] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 21:48:45.280] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 21:48:46.366] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 21:48:46.367] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 21:48:47.464] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-09 21:48:47.465] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-09 21:48:48.555] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.77
[2025-05-09 21:48:48.556] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.77
[2025-05-09 21:48:49.653] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-09 21:48:49.654] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-09 21:48:50.734] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 21:48:50.735] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 21:48:51.746] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.94
[2025-05-09 21:48:51.747] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.94
[2025-05-09 21:48:52.740] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-09 21:48:52.741] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-09 21:48:53.801] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 21:48:53.802] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 21:48:54.897] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 21:48:54.898] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 21:48:55.985] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-09 21:48:55.985] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-09 21:48:57.079] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.9
[2025-05-09 21:48:57.079] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.9
[2025-05-09 21:48:58.175] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 21:48:58.175] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 21:48:59.234] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 21:48:59.234] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 21:49:00.255] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.8
[2025-05-09 21:49:00.256] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.8
[2025-05-09 21:49:01.356] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 21:49:01.357] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 21:49:02.442] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-09 21:49:02.442] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-09 21:49:03.574] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 21:49:03.577] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 21:49:04.641] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-09 21:49:04.642] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-09 21:49:05.722] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.87
[2025-05-09 21:49:05.722] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.87
[2025-05-09 21:49:06.779] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-09 21:49:06.780] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-09 21:49:07.808] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-09 21:49:07.811] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-09 21:49:08.897] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-09 21:49:08.898] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-09 21:49:09.992] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-09 21:49:09.994] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-09 21:49:11.091] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-09 21:49:11.091] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-09 21:49:12.187] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 21:49:12.188] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 21:49:13.264] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 21:49:13.264] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 21:49:14.359] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 21:49:14.360] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 21:49:15.471] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-09 21:49:15.475] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-09 21:49:16.579] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 21:49:16.580] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 21:49:17.643] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 21:49:17.643] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 21:49:18.776] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 21:49:18.781] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 21:49:19.830] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-09 21:49:19.834] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-09 21:49:20.939] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-09 21:49:22.030] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 21:49:22.031] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 21:49:23.124] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.77
[2025-05-09 21:49:23.126] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.77
[2025-05-09 21:49:24.209] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 21:49:24.209] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 21:49:25.304] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.94
[2025-05-09 21:49:25.304] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.94
[2025-05-09 21:49:26.344] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 21:49:26.346] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 21:49:27.389] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-09 21:49:27.389] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-09 21:49:28.472] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-09 21:49:28.473] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-09 21:49:29.567] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-09 21:49:29.568] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-09 21:49:30.678] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-09 21:49:30.680] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-09 21:49:31.757] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 21:49:31.757] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 21:49:32.859] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 21:49:32.861] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 21:49:33.861] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.75
[2025-05-09 21:49:33.863] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.75
[2025-05-09 21:49:34.888] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-09 21:49:34.889] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-09 21:49:35.931] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 21:49:35.932] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 21:49:37.033] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.84
[2025-05-09 21:49:37.034] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.84
[2025-05-09 21:49:38.168] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-09 21:49:38.168] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-09 21:49:39.244] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
